Date,AGL.JO,AMS.JO,GFI.JO,IMP.JO,SOL.JO,SBK.JO,FSR.JO,NED.JO,ABG.JO,CPI.JO,DSY.JO,BAW.JO,SHP.JO,PIK.JO,AVI.JO,NPN.JO,MTN.JO,BTI.JO,REM.JO,CLH.JO,TRU.JO,MRP.JO,NTC.JO,APN.JO,ADH.JO,MUR.JO,WBO.JO,RLO.JO,AEG.JO
2000-01-04,9737.6162109375,18015.23828125,2468.642333984375,3021.3662109375,4868.091796875,2471.44482421875,639.3742065429688,13437.791015625,2753.323974609375,131.71681213378906,1010.6514892578125,1921.4061279296875,883.5661010742188,1035.71630859375,573.1156005859375,3573.53662109375,2306.506103515625,3176.007080078125,725.6580810546875,190.1448516845703,1204.7484130859375,683.6430053710938,81.27489471435547,398.8851013183594,110.6854476928711,398.8788146972656,497.25201416015625,848.0079956054688,113460.1171875
2000-01-05,9737.6162109375,17125.123046875,2315.7177734375,2888.954833984375,4863.13671875,2481.331298828125,657.9607543945312,12963.5205078125,2689.063720703125,131.71681213378906,1078.6759033203125,1921.4061279296875,893.4942016601562,1075.5513916015625,573.1156005859375,3623.6904296875,2336.26806640625,3081.71875,704.1151123046875,190.1448516845703,1175.12353515625,693.5509033203125,79.29261016845703,408.8572082519531,101.9471206665039,400.67156982421875,472.6355895996094,843.0777587890625,111205.9375
2000-01-06,10085.138671875,16912.267578125,2280.763916015625,2828.7685546875,4937.49560546875,2441.788330078125,644.57861328125,12627.5654296875,2664.347900390625,131.71681213378906,1059.2406005859375,1916.8310546875,863.7108764648438,1050.654541015625,568.1748046875,3573.53662109375,2519.796630859375,3176.007080078125,725.6580810546875,173.7882537841797,1160.3106689453125,693.5509033203125,73.34565734863281,398.8851013183594,101.9471206665039,412.32421875,472.6355895996094,824.3426513671875,111205.9375
2000-01-07,10104.75,16641.359375,2280.763916015625,2828.7685546875,4957.3251953125,2491.217041015625,646.80859375,12647.3359375,2758.26708984375,130.77609252929688,952.3446044921875,1898.531982421875,853.7833251953125,1045.6751708984375,563.2341918945312,3604.883056640625,2728.126220703125,3176.007080078125,725.6580810546875,165.60997009277344,1165.248291015625,693.5509033203125,72.35450744628906,403.8712463378906,101.9471206665039,416.8059387207031,482.482177734375,838.1473999023438,111205.9375
2000-01-10,10505.9189453125,17028.3671875,2398.733642578125,2840.8056640625,5254.76318359375,2768.017822265625,740.4846801757812,14425.8662109375,2916.44677734375,142.06605529785156,986.3567504882812,2040.3502197265625,863.7108764648438,1120.3660888671875,573.1156005859375,3981.044677734375,2916.615478515625,3324.88232421875,759.6731567382812,175.83282470703125,1234.3731689453125,713.3665771484375,81.27489471435547,443.7596130371094,111.65634155273438,447.28204345703125,487.40545654296875,852.9382934570312,114211.5
2000-01-11,10398.3427734375,16602.666015625,2376.888427734375,2718.0244140625,5026.7265625,2733.41796875,739.7410888671875,14722.287109375,3079.570068359375,141.125244140625,981.4982299804688,2138.70751953125,863.7108764648438,1120.3660888671875,563.2341918945312,4451.248046875,2976.137451171875,3374.506591796875,771.0115966796875,176.85511779785156,1204.7484130859375,713.3665771484375,87.22185516357422,553.453125,117.48184967041016,457.1419982910156,492.3287658691406,867.7293090820312,115714.28125
2000-01-12,10280.9599609375,16157.603515625,2420.580810546875,2696.357666015625,4957.3251953125,2738.3603515625,716.6939697265625,14722.287109375,3089.456787109375,142.06605529785156,991.2158813476562,2127.2705078125,863.7108764648438,1095.4688720703125,563.2341918945312,4513.9404296875,3010.859619140625,3374.506591796875,771.0115966796875,190.1448516845703,1214.6234130859375,723.274658203125,87.22185516357422,548.4671020507812,116.51093292236328,457.1419982910156,492.3287658691406,892.3806762695312,114211.5
2000-01-13,10413.0458984375,16254.3544921875,2324.455810546875,2705.98681640625,4838.3486328125,2768.017822265625,706.2854614257812,14623.4794921875,3015.310302734375,140.18434143066406,1093.2525634765625,2175.30615234375,863.7108764648438,1095.4688720703125,560.2698974609375,4702.0205078125,3243.99072265625,3374.506591796875,771.0115966796875,176.85511779785156,1180.0609130859375,728.228515625,86.230712890625,533.5087890625,107.77262878417969,443.6966247558594,521.8687133789062,926.8925170898438,114211.5
2000-01-14,10324.8076171875,16738.1171875,2341.934326171875,2804.693115234375,4907.7529296875,2763.074462890625,712.9766845703125,15196.5615234375,3044.968017578125,147.71109008789062,1093.2525634765625,2241.641357421875,863.7108764648438,1105.427734375,557.3055419921875,5090.72265625,3452.320068359375,3424.133056640625,782.35009765625,176.85511779785156,1184.9984130859375,743.0901489257812,83.2572021484375,533.5087890625,111.65634155273438,443.6966247558594,521.8687133789062,986.0560302734375,120072.3671875
2000-01-17,10276.0537109375,17512.1328125,2411.842041015625,2864.879638671875,5175.4462890625,2787.790283203125,704.0553588867188,15453.4619140625,3114.17236328125,150.53359985351562,1093.2525634765625,2342.28564453125,843.8554077148438,1095.4688720703125,552.3649291992188,5454.3447265625,3680.490478515625,3513.457763671875,802.75927734375,176.85511779785156,1204.7484130859375,728.228515625,83.2572021484375,558.4390869140625,116.51093292236328,466.1055603027344,521.8687133789062,1005.77685546875,120222.6328125
2000-01-18,10104.75,18286.154296875,2499.22705078125,2978.03125,5135.7880859375,2787.790283203125,697.3641357421875,15690.599609375,3143.8310546875,150.53359985351562,1088.393798828125,2310.261474609375,804.1447143554688,1045.6751708984375,563.2341918945312,5422.998046875,3794.576171875,3434.056884765625,784.6178588867188,176.85511779785156,1184.9984130859375,708.41259765625,81.27489471435547,593.3416748046875,111.65634155273438,452.66033935546875,512.0218505859375,971.2648315429688,121875.6953125
